Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,6.1,5.1,5.6,6.5,6.9,5.1,5.9,6.3,7.3,8.4,7.4,7,5.3,5,5.1,4.9,4.7,4.8,3.5,5.5
Aruba,ABW,Lending interest rate (%),FR.INR.LEND,12.6,11.3,10.7,9.6,11,9.5,10.4,10.5,10.7,10.3,9,8.4,8.5,7.3,7,6.9,6.3,6,5.7,6.8
Aruba,ABW,Deposit interest rate (%),FR.INR.DPST,6.5,6.2,5.1,3.1,4.1,4.4,4.5,4.2,3.4,1.9,1.6,1.4,3.2,2.3,1.9,2,1.6,1.2,2.2,1.3
Aruba,ABW,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.883604303,3.315246786,3.656365079,2.529129469,3.397786778,3.608024388,5.392567845,8.955987052,-2.13542872,2.078140719,4.316297422,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043,
Aruba,ABW,Consumer price index (2010 = 100),FP.CPI.TOTL,74.10855877,76.56544039,79.36495241,81.37219481,84.13704849,87.17273372,91.87358252,100.1017687,97.96416676,100,104.3162974,104.970853,102.4808759,102.9127722,103.4013646,102.4384952,101.3851388,105.061406,109.5343554,
Aruba,ABW,Broad money growth (annual %),FM.LBL.BMNY.ZG,5.887435776,10.48571118,8.87588513,3.215753579,6.191747254,2.373495962,3.300595717,16.5640586,5.749623934,-0.281333966,0.12679896,8.250490724,-3.72016846,5.598420413,9.452578891,9.500906726,1.764112903,3.231208283,4.398089972,4.871536744
Aruba,ABW,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.199732979,3.037648332,3.670999138,3.763601368,4.173947842,3.457819936,3.147921103,2.415511049,2.572627848,2.486683118,2.558194337,2.485183682,2.815659413,2.85450751,2.60559083,2.523002027,2.611210796,2.494467042,2.59873504,2.207770042
Aruba,ABW,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,53.55251673,58.52086331,61.19679381,57.29004763,58.16874401,57.24423963,54.8258919,60.87708588,70.72434608,73.72283244,69.20683611,75.36257439,67.41962841,69.58695818,71.74183573,78.01209951,76.59539875,76.36013461,,
Aruba,ABW,Broad money (current LCU),FM.LBL.BMNY.CN,1840600000,2033600000,2214100000,2285300000,2426800000,2484400000,2566400000,2991500000,3163500000,3154600000,3158600000,3419200000,3292000000,3476300000,3804900000,4166400000,4239900000,4376900000,4569400000,4792000000
Aruba,ABW,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,4.56312372,10.97288928,11.2731609,3.488640983,8.472804446,4.055216746,3.908670101,3.847412718,-0.768276784,0.867899478,2.330755088,2.887450136,4.142957417,3.660844471,-0.176164313,1.387500329,2.707205261,2.668765773,6.654572871,1.290059964
Aruba,ABW,Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,46.01885365,51.3276259,55.63532338,52.39729255,54.74010067,54.88868664,52.96466567,52.46267806,57.12123854,60.35262912,58.19489483,60.55142164,59.16367303,60.24055072,56.62691379,57.2219424,57.24649306,57.25839458,,
Aruba,ABW,Net foreign assets (current LCU),FM.AST.NFRG.CN,700601000,746906000,700915000,722775000,675555000,757019000,858988000,1429124000,1576887000,1472522000,1493405000,1563051000,1216029000,1289640000,1611022000,1892421000,1824166000,1917887000,1928044000,2353836000
Aruba,ABW,Net domestic credit (current LCU),FM.AST.DOMS.CN,1540655000,1706137000,1969561000,2061564000,2259793000,2313773000,2412872000,2364339000,2380279000,2541109000,2591796000,2854135000,2963489000,3139582000,3165732000,3307622000,3532188000,3677911000,3936193000,3909423000
Aruba,ABW,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,-1.013944396,-1.982234054,1.680418961,0.666681722,0.201286483,-1.830888413,0.080180325,-5.738505299,1.30111984,4.216026553,-0.723990363,5.418096625,-0.944723912,1.688274605,0.928400886,2.341638414,2.682723694,0.768178495,-0.753547031,-1.875913687
Aruba,ABW,Total reserves minus gold (current US$),FI.RES.XGLD.CD,293710614.5,339727933,295220700,295424000,273513400,337819600,372082100,604898900,578220110,568163690,536675980,602222300,532720670,559751000,709800560,807960890,777461452.5,852082680,830000000,1023468720
Aruba,ABW,Total reserves in months of imports,FI.RES.TOTL.MO,2.275344376,2.558115608,2.154840964,0.9370178,0.704990474,0.852870309,0.855744945,1.185993821,2.502648818,3.763546704,1.174719771,3.053450528,3.171214725,3.387887445,4.244713169,5.036316049,4.801479005,4.624236813,4.737651224,8.03308058
Aruba,ABW,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,321360614.5,374002933,336945700,339224000,324813400,401389600,455457100,691873900,686970110,708713690,689775980,768622300,653170670,680351000,815800560,922550890,907111452.5,980247680,982300000,1212578720
Aruba,ABW,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,46.01885365,51.3276259,55.63532338,52.39729255,54.74010067,54.88868664,52.96466567,52.46267806,57.12123854,60.35262912,58.19489483,60.55142164,59.16367303,60.24055072,56.62691379,57.2219424,57.24649306,57.25839458,,
Aruba,ABW,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,,,,,,,,,,,20.96,21.96,19.29,19.06,18.86,19.83,18.51,17.24,14.84,11.34
Aruba,ABW,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,110.9768428,119.574899,124.1681937,117.9371717,119.0700745,125.9930704,124.9754099,126.4324219,126.7441595,125.8389262
Aruba,ABW,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Listed domestic companies, total",CM.MKT.LDOM.NO,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,0.069537387,0.068489209,0.013543394,0.065429932,0.035175564,0.042735879,0.198675497,0.246235246,0.362173038,0.207992522,0.208150745,0.191756667,0.232342375,0.26748888,0.272830662,1.76571642,1.815411735,1.15297067,,
Aruba,ABW,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1335195.531,1329608.939,273743.0168,1458100.559,819846.0963,1036166.002,5195530.726,6759776.536,9050279.33,4972067.039,5307262.57,4860335.196,6337950.838,7465211.173,8083713.408,52682566.15,56140340.16,36920295.45,34264018.27,35002157.94
Aruba,ABW,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,916201.1173,871508.3799,0,893854.7486,1515.67601,89591.40761,391061.4525,1843575.419,3798882.682,3854748.603,4636871.508,2960893.855,3064208.939,4069796.089,5739835.754,50979290.08,54897859.54,32682345.73,29084657.09,29589295.08
Aruba,ABW,"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2793.312849,80031.69553,-40964.46927
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-13.90165842,17.12805755,7.904919845,-4.743043369,-8.915590376,9.086771661,-18.01110874,0.687830688,-0.424770847,7.812573031,19.14548642,-12.41569319,8.298528585,8.979994275,-0.971204144,0.923412225,5.253588366,4.244633596,,
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-266927374.3,332513966.5,159776536.3,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,226371388.8,250618095,-28775856.42,27551267.63,162463551.5,135921173.4,-75226540.68,
Aruba,ABW,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,-57296089.39,-64061452.51,-35916201.12,-16966480.45,-22360681.49,47877688.44,-60837988.83,-42625698.32,1899441.341,-8938547.486,-12625698.32,-143240223.5,-79490608.38,-108868282.7,-60811598.32,-38193396.53,93451250.29,-33166511.56,50376945.03,-193276853.6
Aruba,ABW,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,263240223.5,-338659217.9,-163016759.8,97541899.44,198934471.1,-233138804.5,510558659.2,-16089385.47,12122905.03,-184022346.4,-485027933,317486033.5,-221951574.3,-241753769.3,39290644.13,-27970016.74,-79282922.03,-105550685.7,134984404,-128845764.7
Aruba,ABW,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,39111731.84,45960893.85,47636871.51,49072625.7,61930744.94,71864171.25,73072625.7,75642458.1,72960893.85,64916201.12,63910614.53,67821229.05,66652368.72,70222692.18,74978013.41,98052501.99,108045520.4,111650956.9,112627597.6,96888358.76
Aruba,ABW,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.192027931,-0.316546763,-0.160309563,-0.366006518,-0.380290682,-0.528861057,1.51249733,0.101750102,0.060362173,0.114512737,0.122699387,0.110204981,0.162025587,0.317621096,0.354881024,-0.014034855,2.68981432,0.948429072,,
Aruba,ABW,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-3687150.838,-6145251.397,-3240223.464,-8156424.581,-8863534.769,-12822664.74,39553072.63,2793296.089,1508379.888,2737430.168,3128491.62,2793296.089,4419814.525,8864325.698,10514787.71,-418749.1099,83180629.49,30370487.7,59757863.33,14270325.38
Africa Eastern and Southern,AFE,International migrant stock (% of population),SM.POP.TOTL.ZS,,,,,1.570605335,,,,,1.458032482,,,,,1.734767973,,,,,
Africa Eastern and Southern,AFE,"International migrant stock, total",SM.POP.TOTL,,,,,7144500,,,,,7809570,,,,,10406165,,,,,
Africa Eastern and Southern,AFE,Net migration,SM.POP.NETM,,-953560,,,,,-1447652,,,,,-1411932,,,,,-791282,,,
Africa Eastern and Southern,AFE,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,4,4.04,3.923076923,4.076923077,4.307692308,4.538461538,4.538461538,
Africa Eastern and Southern,AFE,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,0.138095238,0.179166667,0.604166667,0.583333333,1.083333333,1.766666667,2.308333333,2.391666667,2.752,3.508,3.86,6.469230769,8.603846154,7.926923077,8.965384615,9.888461538,
Africa Eastern and Southern,AFE,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,7.661904762,8.3125,8.395833333,10.01666667,10.58333333,10.0125,10.2125,10.8875,11.068,11.608,11.116,11.89230769,12.97692308,13.85384615,14.46923077,16.17692308,
Africa Eastern and Southern,AFE,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,,,,,,,,,,,,,2.24,2.4,3.269230769,3.769230769,4.346153846,4.423076923,4.5,
Africa Eastern and Southern,AFE,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,77.00314881,62.43239042,71.32644661,80.26806512,85.50994526,94.99003376,94.00024882,78.9335012,80.0842688,85.89258412,76.65518606,79.62458534,75.87775461,74.53038543,65.37144718,63.8607716,66.44405857,63.37278776,61.95035563,58.16593378
Africa Eastern and Southern,AFE,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,16.2410677,18.8414064,18.40634831,17.97612869,14.39862825,9.759961771,7.560437601,6.463991124,10.57479028,10.73140048,8.616143074,9.093887758,8.56590001,9.994747059,9.094490915,11.54093253,13.2960303,13.00509339,12.80654204,15.84577198
Africa Eastern and Southern,AFE,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,11.3225,11.125,10.85333333,9.939653318,8,8.192321976,8.089046315,7.868441667,8.121353814,9.268636417,8.619903139,7.855833333,7.394308071,8.140551099,7.566750954,8.809951108,8.691920426,9.116106373,9.022438516,8.13087002
Africa Eastern and Southern,AFE,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.840353983,8.763751648,7.44970014,5.023420686,8.558038022,8.898163802,8.450774806,12.56664466,8.954218024,5.537537916,8.97120641,9.158707155,5.746948853,5.37028961,5.250170864,6.594604415,6.399343416,4.720811389,3.923372435,4.978096763
Africa Eastern and Southern,AFE,Consumer price index (2010 = 100),FP.CPI.TOTL,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,39.78293998,41.73997997,42.87870886,43.57651584,45.42320197,47.25990806,49.59549067,49.31149638,50.43845836,50.15312692,49.15495203,47.89942819,45.51834454,45.58024008,47.33081772,46.44692686,46.68066838,47.27917049,49.43618374,54.64188561
Africa Eastern and Southern,AFE,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,42.00388844,32.84619784,37.39904362,39.10141873,39.5276772,42.45963312,43.81409285,40.79163591,42.40787443,41.76188019,40.08955231,40.58026845,38.49416123,37.75151836,38.96798639,38.02864411,37.77978035,37.64228368,37.57019096,38.72597237
Africa Eastern and Southern,AFE,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Net domestic credit (current LCU),FM.AST.DOMS.CN,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Total reserves minus gold (current US$),FI.RES.XGLD.CD,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Total reserves in months of imports,FI.RES.TOTL.MO,9.868154748,8.143006744,6.597802552,5.26037295,5.068370995,5.921739585,5.828069072,4.791534276,5.857269536,5.078793452,4.869537644,4.993032359,4.853679592,4.671042514,5.111306981,6.036917972,5.37379934,4.861577265,5.330297213,6.834714959
Africa Eastern and Southern,AFE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,19.72717846,18.30342904,18.35422415,24.52412588,30.8900786,42.51709514,46.45769659,47.50786767,45.93144601,43.6975574,44.13313729,40.83127556,38.70989449,36.38237449,34.0536723,30.35177162,26.39743007,26.3518963,26.37647867,25.03918088
Africa Eastern and Southern,AFE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,16.5607499,18.12377198,13.34157559,16.74157289,18.00289673,17.61757266,19.35570521,15.6795501,17.54598279,14.68782468,15.9302751,18.18874493,18.65512612,15.65052264,18.18097627,20.51085908,21.63051857,18.47174017,20.10611088,18.566681
Africa Eastern and Southern,AFE,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,41.92793795,32.75432026,37.34254944,39.04225744,39.46899345,42.41448321,43.77418896,40.75214556,42.3656449,41.69341885,40.05797245,40.47420146,38.39036101,37.66815164,38.9239257,37.83102558,37.5729946,37.45341837,37.32697223,38.40119798
Africa Eastern and Southern,AFE,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,,,,,,115.97,120.68,156.69,162.195,179.935,173.26,205.2,221.44,201.22,210.23,287.25,364.29,297.14,,
Africa Eastern and Southern,AFE,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,,,,5.1,7.04,7.315,15.98,17.055,17.73,19.68,22.29,30.62,30.63,36.595,35.83,39.245,33.15,52.675,60.36,
Africa Eastern and Southern,AFE,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,,,,2.4,2.275,2.23,2.395,2.99,2.94,3.38,3.62,3.85,4.225,4.475,4.545,4.81,4.92,4.62,4.445,
Africa Eastern and Southern,AFE,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,1.004237175,1.533748754,2.979790298,4.028829655,4.354532773,5.45509088,5.567508248,4.763106368,5.247371138,6.735531626,7.627302693,8.425886655,9.162254629,10.24826565,9.987677953,10.26517069,
Africa Eastern and Southern,AFE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,,,,,,,,,,,,,,,,,,,,
